image,label,x,y,w,h,colors,recorded
anemone-6-anima-bluray.jpg,skin,740,620,10,10,3,#F8E5EC
anemone-6-anima-bluray.jpg,hairR,1050,600,24,24,3,#DAD9D7
anemone-6-anima-bluray.jpg,hairL,560,600,24,24,3,#E5E1DF
anemone-6-anima-bluray.jpg,ringcrop,910,420,60,60,5,#7A7F8A
nemophila-1.jpg,hair,300,150,16,16,3,#BAB1B5
nemophila-1.jpg,dress,330,230,12,12,3,#5393BD
nemophila-1.jpg,chair,450,180,20,20,3,#ABB5BC
nemophila-1.jpg,backdrop,900,100,40,40,3,#DEDEE2
nemophila-1.jpg,petal,470,300,8,8,3,#9A9C9F
nemophila-2.jpg,bodice,500,520,20,20,3,#5A6781
nemophila-2.jpg,skirtgrad,400,620,20,20,3,#DBE1ED
nemophila-2.jpg,hem,500,850,20,20,3,#BAB8C9
nemophila-2.jpg,flower,455,215,8,8,3,#4B7589
nemophila-2.jpg,ribbon,430,265,8,8,3,#FFFFFF
nemophila-2.jpg,sleeveemb,330,650,8,8,3,#FFFFFF
nemophila-2.jpg,ribbonB,400,240,6,6,3,#C9C9C9
nemophila-2.jpg,flowerB,462,225,5,5,3,#6395AF
nemophila-2.jpg,flowerC,475,262,5,5,3,#6891A9
nemophila-2.jpg,sleeveembB,318,660,4,4,3,#FFFFFF
nemophila-2.jpg,skirtmid,500,700,16,16,3,#718BB3
nemophila-2.jpg,bodiceC,520,480,14,14,3,#1645A4
nemophila-2.jpg,skirtblue,450,600,10,10,3,#0C3C8D
nemophila-4-acsta.jpg,hair,760,400,20,20,3,#DDE3F0
nemophila-4-acsta.jpg,hair2,380,430,20,20,3,#B7BBCA
nemophila-4-acsta.jpg,eye,600,215,8,8,3,#CFCEE0
nemophila-4-acsta.jpg,bodice,600,370,16,16,3,#4FB3E1
nemophila-4-acsta.jpg,dresslow,560,560,20,20,3,#D6DBEE
nemophila-4-acsta.jpg,boot,600,880,16,16,3,#3D3E4A
nemophila-4-acsta.jpg,flower,655,215,8,8,3,#33ACE3
nemophila-4-acsta.jpg,tassel,640,275,8,8,3,#CACDDF
nemophila-4-acsta.jpg,backdrop,100,100,40,40,3,#EAECF8
nemophila-4-acsta.jpg,eyeA,605,220,6,6,3,#727188
nemophila-4-acsta.jpg,eyeB,590,222,6,6,3,#ABA6B4
nemophila-4-acsta.jpg,bodiceB,585,330,10,10,3,#5489C6
nemophila-4-acsta.jpg,ringA,530,400,6,6,3,#73CCE9
nemophila-6-anima3kv.jpg,hair,420,470,20,20,3,#A3B8C8
nemophila-6-anima3kv.jpg,hair2,520,330,20,20,3,#7B9BAF
nemophila-6-anima3kv.jpg,eye,685,195,8,8,3,#DADBE0
nemophila-6-anima3kv.jpg,bodice,655,320,16,16,3,#D9E5EC
nemophila-6-anima3kv.jpg,skirt,700,560,20,20,3,#FBFEFF
nemophila-6-anima3kv.jpg,skirtblue,590,600,12,12,3,#95C1DA
nemophila-6-anima3kv.jpg,goldring,770,325,8,8,3,#F0F0EB
nemophila-6-anima3kv.jpg,boot,770,940,12,12,3,#949493
nemophila-6-anima3kv.jpg,ornament,740,185,8,8,3,#E8F9FC
nemophila-6-anima3kv.jpg,tassel,770,240,8,8,3,#A0CEED
nemophila-6-anima3kv.jpg,tights,680,800,16,16,3,#FFFFFF
nemophila-6-anima3kv.jpg,bodiceB,660,350,10,10,3,#E8EDEB
nemophila-6-anima3kv.jpg,bodiceC,645,310,8,8,3,#40BCF2
nemophila-6-anima3kv.jpg,ringB,778,328,6,6,3,#A4A3A1
nemophila-6-anima3kv.jpg,hemgold,720,545,6,6,3,#FAFEFF
nemophila-6-anima3kv.jpg,hemgold2,655,525,6,6,3,#FBFDF4
nemophila-6-anima3kv.jpg,ring,775,330,40,30,6,#A5A59E
nemophila-6-anima3kv.jpg,hem,700,540,120,40,6,#FCFEFD
nemophila-7-hoodtowel.jpg,blueflat,200,750,30,30,3,#79B3E1
nemophila-7-hoodtowel.jpg,bluegrad,140,750,10,10,3,#CFE3F3
nemophila-7-hoodtowel.jpg,flowerpetal,520,440,6,6,3,#C4D7F1
nemophila-7-hoodtowel.jpg,flowerinner,495,447,4,4,3,#404242
nemophila-7-hoodtowel.jpg,hoodbeige,600,350,20,20,3,#8B847A
nemophila-7-hoodtowel.jpg,buttongold,600,600,6,6,3,#A9A890
nemophila-7-hoodtowel.jpg,ribbon,505,505,4,4,3,#333738
nemophila-7-hoodtowel.jpg,scallop,200,565,6,6,3,#83B8E1
nemophila-9-anima2-jacket.jpg,hairlit,1150,700,30,30,3,#A7B0CD
nemophila-9-anima2-jacket.jpg,hairblond,1000,900,24,24,3,#C5B9B6
nemophila-9-anima2-jacket.jpg,hairblue,780,600,6,6,3,#C3BCC5
nemophila-9-anima2-jacket.jpg,eye,880,470,8,8,3,#B8B1C8
nemophila-9-anima2-jacket.jpg,flower,975,410,10,10,3,#B2D0E7
nemophila-9-anima2-jacket.jpg,bodice,780,760,12,12,3,#8AB8E4
nemophila-9-anima2-jacket.jpg,bodice2,800,850,10,10,3,#A2C9EA
nemophila-9-anima2-jacket.jpg,jacket,930,700,20,20,3,#A7AAB6
nemophila-9-anima2-jacket.jpg,skirt,650,1050,24,24,3,#EFF3F9
nemophila-9-anima2-jacket.jpg,button,680,910,6,6,3,#B9CEE6
nemophila-9-anima2-jacket.jpg,boot,870,1720,14,14,3,#66676F
nemophila-9-anima2-jacket.jpg,tights,800,1300,16,16,3,#7E9FC0
nemophila-9-anima2-jacket.jpg,background,300,300,40,40,3,#F5F6FA
nemophila-9-anima2-jacket.jpg,logoblue,1100,1650,8,8,3,#D9DADF
sunflower-1.jpg,petal,250,330,12,12,3,#F6DF5E
sunflower-1.jpg,dress,520,690,16,16,3,#CCC47B
sunflower-1.jpg,sleeve,380,720,10,10,3,#9EBCC9
sunflower-1.jpg,hair,500,200,24,24,3,#D9D8D6
sunflower-1.jpg,eye,600,480,8,8,3,#737E80
sunflower-1.jpg,shoe,390,860,16,16,3,#A4A38E
sunflower-1.jpg,dressB,540,720,14,14,3,#A5A38A
sunflower-1.jpg,dressC,560,760,10,10,3,#F1EA9C
sunflower-1.jpg,embroid,540,670,5,5,3,#A2A18D
sunflower-3-acsta.jpg,hair,960,450,20,20,3,#E8EAEB
sunflower-3-acsta.jpg,hair2,640,520,20,20,3,#CCCDC1
sunflower-3-acsta.jpg,eye,795,325,8,8,3,#B4B1AA
sunflower-3-acsta.jpg,yellow,800,480,16,16,3,#CFD13E
sunflower-3-acsta.jpg,yellow2,830,600,16,16,3,#E2E5E6
sunflower-3-acsta.jpg,jacket,700,600,20,20,3,#F6F7F9
sunflower-3-acsta.jpg,lining,640,690,12,12,3,#C3EDF1
sunflower-3-acsta.jpg,tights,790,900,16,16,3,#4B4A4E
sunflower-3-acsta.jpg,boot,740,1150,16,16,3,#B4B7A6
sunflower-3-acsta.jpg,sunflower,860,265,8,8,3,#4A413A
sunflower-3-acsta.jpg,embroidery,840,470,6,6,3,#71623D
sunflower-3-acsta.jpg,backdrop,200,200,40,40,3,#F3F4F8
sunflower-3-acsta.jpg,eyeA,800,325,5,5,3,#E4E3DF
sunflower-3-acsta.jpg,eyeB,790,330,5,5,3,#E5E5E6
sunflower-3-acsta.jpg,yellowB,860,650,12,12,3,#E7EAEF
sunflower-3-acsta.jpg,yellowC,900,760,10,10,3,#EBEDF1
sunflower-3-acsta.jpg,liningB,655,700,8,8,3,#C9F0F5
sunflower-3-acsta.jpg,liningC,880,540,8,8,3,#95F7FA
sunflower-3-acsta.jpg,petal,875,255,5,5,3,#E6E7AD
sunflower-3-acsta.jpg,liningD,630,700,10,10,3,#C0F5FD
sunflower-3-acsta.jpg,yellowD,820,520,10,10,3,#DBDB45
sunflower-6-frameart.jpg,dress,600,560,20,20,3,#BE9F25
sunflower-6-frameart.jpg,lining,480,400,10,10,3,#5597A9
sunflower-6-frameart.jpg,tights,600,700,12,12,3,#D1BA07
sunflower-6-frameart.jpg,eye,605,335,6,6,3,#BEB4C5
sunflower-6-frameart.jpg,tightsB,575,770,8,8,3,#5F5C73
sunflower-6-frameart.jpg,eyeB,600,338,5,5,3,#5F475A
sunflower-6-frameart.jpg,liningB,720,545,8,8,3,#A8AFCC
sunflower-8-profile-kv.jpg,hair,1318,512,24,24,3,#E9E6DD
sunflower-8-profile-kv.jpg,eye,1286,410,8,8,3,#C5C1AB
sunflower-8-profile-kv.jpg,yellow,1357,717,24,24,3,#B9AE53
sunflower-8-profile-kv.jpg,jacket,1395,602,24,24,3,#CEC8B7
sunflower-8-profile-kv.jpg,lining,1446,730,10,10,3,#4F8D8E
sunflower-8-profile-kv.jpg,tights,1267,998,20,20,3,#616243
sunflower-8-profile-kv.jpg,boot,1280,1280,16,16,3,#9E9D76
sunflower-8-profile-kv.jpg,field,2304,1152,40,40,3,#716E2E
sunflower-8-profile-kv.jpg,roof,896,384,40,40,3,#95D8CF
sunflower-8-profile-kv.jpg,sky,1920,51,40,40,3,#D6F1FD
sunflower-8-profile-kv.jpg,eyeB,1290,412,6,6,3,#868369
sunflower-8-profile-kv.jpg,jacketlit,1434,563,24,24,3,#BCB599
sunflower-8-profile-kv.jpg,tightsB,1248,1050,12,12,3,#5C5D3D
sunflower-8-profile-kv.jpg,yellowB,1300,620,16,16,3,#CAC5AF
sunflower-9-genshiroku.jpg,hair,1000,300,24,24,3,#CDCAC2
sunflower-9-genshiroku.jpg,eye,760,225,8,8,3,#CBC2B5
sunflower-9-genshiroku.jpg,collar,580,570,12,12,3,#D1AE4D
sunflower-9-genshiroku.jpg,blackflower,540,250,12,12,3,#776F2C
sunflower-9-genshiroku.jpg,blondstrand,880,520,8,8,3,#D7C377
